Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
WHITE 32    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"European Pharmacopoeia (PH.EUR.) ; FDA 21 CFR 172.878, 21 CFR 176.170, 21 CFR 176.180, 21 CFR 178.3570, 21 CFR 178.3620(a); United States Pharmacopoeia (USP)",, ,LUKOIL INDUSTRY
BIOCHAIN HEAVY    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,Descrizione prodotto a breve,,ThyssenKrupp Industrial Solutions,LUKOIL INDUSTRY
LUBE GF 100   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51502 – CGLP, 51502 – CLP",, ,LUKOIL INDUSTRY
LUBE GF 150   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51502 – CGLP, 51502 – CLP",, ,LUKOIL INDUSTRY
LUBE GF 220   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51502 – CGLP, 51502 – CLP",, ,LUKOIL INDUSTRY
LUBE GF 320   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51502 – CGLP, 51502 – CLP",, ,LUKOIL INDUSTRY
LUBE GF 460   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51502 – CGLP, 51502 – CLP",, ,LUKOIL INDUSTRY
HYDRAULIC OIL 32   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-2 (HLP),, ,DEALER LINE
HYDRAULIC OIL 46   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-2 (HLP),, ,DEALER LINE
HYDRAULIC OIL 68   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-2 (HLP),, ,DEALER LINE
HYDRAULIC OIL D 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-2 (HLPD),, ,DEALER LINE
HYDRAULIC OIL MD 32  ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-3 (HVLPD),, ,DEALER LINE
HYDRAULIC OIL MD 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-3 (HVLPD),, ,DEALER LINE
HYDRAULIC OIL D 22  ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,DIN 51524-2 (HLPD),, ,DEALER LINE
STEELO IGT 150   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,DIN 51517-3 (CLP; ISO 12925-1 (L-CKD); AGMA 9005-F16; AIST 224; DAVID BROWN S1.53.101; GB 5903-2011 (CKD); JIS K 2219:2006,,-,INDUSTRIAL GEAR OIL
STEELO IGT 220   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,DIN 51517-3 (CLP; ISO 12925-1 (L-CKD); AGMA 9005-F16; AIST 224; DAVID BROWN S1.53.101; GB 5903-2011 (CKD); JIS K 2219:2006,,-,INDUSTRIAL GEAR OIL
STEELO IGT 320   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,DIN 51517-3 (CLP; ISO 12925-1 (L-CKD); AGMA 9005-F16; AIST 224; DAVID BROWN S1.53.101; GB 5903-2011 (CKD); JIS K 2219:2006,,-,INDUSTRIAL GEAR OIL
STEELO HST 68   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,"AGMA 250.04, 9005-D94, 9005-E02 (EP); AIST 224; DIN 51517-3 CLP; David Brown S1.53.101; GM LS-2 EP; ISO 12925-1-CKC, 12925-1-CKD; MAG Cincinnati Machine Gear; Müller Weingarten DT 55005; SEB 181226; Siemens MD (Flender) Revision 15; Timken Ltd.; US Steel 222, Steel 223, Steel 224",,DANIELI,INDUSTRIAL GEAR OIL
STEELO HST 100   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,"AGMA 250.04, 9005-D94, 9005-E02 (EP); AIST 224; DIN 51517-3 CLP; David Brown S1.53.101; GM LS-2 EP; ISO 12925-1-CKC, 12925-1-CKD; MAG Cincinnati Machine Gear; SEB 181226; Siemens MD (Flender) Revision 15; Timken Ltd.; US Steel 222, Steel 223, Steel 224",,"Müller Weingarten DT 55005; SN (SMS GROUP); Stiebel Getriebe A2000, Getriebe QuarryMaster, Getriebe QuarryMaster highpower, Getriebe S2000",INDUSTRIAL GEAR OIL
STEELO HST 150   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,"AGMA 250.04, 9005-D94, 9005-E02 (EP); AIST 224; DIN 51517-3 CLP; David Brown S1.53.101; GM LS-2 EP; ISO 12925-1-CKC, 12925-1-CKD; MAG Cincinnati Machine Gear; Müller Weingarten DT 55005; SEB 181226; Siemens MD (Flender) Revision 15; Timken Ltd.; US Steel 222, Steel 223, Steel 224",,DANIELI,INDUSTRIAL GEAR OIL
STEELO HST 220   ,Fluidi industriali,Lubrificazione,Olio ingranaggi,Lukoil,"AGMA 250.04, 9005-D94, 9005-E02 (EP); AIST 224; DIN 51517-3 CLP; David Brown S1.53.101; GM LS-2 EP; ISO 12925-1-CKC, 12925-1-CKD; MAG Cincinnati Machine Gear; Müller Weingarten DT 55005; SEB 181226; Siemens MD (Flender) Revision 15; Timken Ltd.; US Steel 222, Steel 223, Steel 224",,"SN (SMS GROUP); Stiebel Getriebe A2000, Getriebe B2000, Getriebe P2000, Getriebe P3000, Getriebe QuarryMaster, Getriebe QuarryMaster highpower, Getriebe S2000",INDUSTRIAL GEAR OIL
